id,name,registrationrule,state_id,display_name,created,modified,guid,type
256,VolunteerEnergy,1,,VolunteerEnergy,2014-12-29 11:23:15.634488-05,2014-12-29 11:26:46.202015-05,76f3406a-157d-47f2-9b35438d9b8688d0,2
27,APG&E,1,,APG&E,2014-12-11 17:53:52.121789-05,2014-12-23 12:51:29.669104-05,3f4c9450-eb54-4f0d-b224-9ac220b9d224,2
24,Bollinger Energy,1,,Bollinger Energy,2014-12-11 17:53:52.112996-05,2014-12-23 12:51:29.730458-05,3fa56699-c8e4-4d6c-a0b9-4bcd1e089b23,2
39,Cincinnati Bell Energy LLC,1,,Cincinnati Bell Energy LLC,2014-12-11 17:53:52.167281-05,2014-12-23 12:51:29.799016-05,676f4e85-0742-411f-bcab-1a8950167f97,2
40,"Cirro Group, Inc.",1,,"Cirro Group, Inc.",2014-12-11 17:53:52.17018-05,2014-12-23 12:51:29.806496-05,783ca75e-f5e0-439d-99b5-aee2285d168a,2
23,Clear Energy,1,,Clear Energy,2014-12-11 17:53:52.109794-05,2014-12-23 12:51:29.810199-05,049aa87e-d429-4073-86f5-d5e838c8aa31,2
41,CMS Energy Resource Management,1,,CMS Energy Resource Management,2014-12-11 17:53:52.172995-05,2014-12-23 12:51:29.845489-05,ef1a844b-9f0c-4ff4-9478-3dcf27c0de1c,2
5,Columbia Gas of Virginia,5,46,Columbia Gas of Virginia,,2014-12-23 12:51:29.85295-05,38682178-3e96-4914-898b-2a2418584ea9,1
251,ConEd Solutions,1,,"",2014-12-29 11:20:12.337619-05,2014-12-29 11:20:12.337663-05,821ca61b-5ab4-479d-afd738c787a0ecbe,2
124,COMELEC,1,,COMELEC,2014-12-11 17:53:52.431185-05,2014-12-29 11:24:00.652214-05,54d2b1b5-798b-4e58-a92cbcabd416b409,1
252,Duquesne Light,1,,82b63779-c280-44f5-afb0-6b71f5dcbda5,2014-12-29 11:20:42.516054-05,2014-12-29 11:25:15.28774-05,a95f7cd0-6931-47fb-89293e4c82c61054,1
87,"Linde Energy Services, Inc.",1,,"Linde Energy Services, Inc.",2014-12-11 17:53:52.305134-05,2014-12-29 11:26:21.495955-05,da2a7498-bc77-46cf-8018bf54e10933d,2
253,High Rise Energy Group,1,,High Rise Energy Group,2014-12-29 11:21:28.742032-05,2014-12-29 11:25:30.268169-05,57497496-3f55-478d-96a059cd7fbf98ce,2
193,APNA Energy,1,,APNA Energy,2014-12-11 17:53:52.638023-05,2014-12-23 12:51:29.676637-05,3a5c7742-54c0-41f7-850c-b9fb1fb6d4dd,2
176,3 Phases Renewables,1,,3 Phases Renewables,2014-12-11 17:53:52.590038-05,2014-12-23 12:51:29.542857-05,b6e38858-d699-477f-bc78-3fd5d28942a8,2
177,4Change Energy Company,1,,4Change Energy Company,2014-12-11 17:53:52.592814-05,2014-12-23 12:51:29.54782-05,9e829217-3680-4c6d-82f2-942ee87e49ea,2
178,"Accent Energy Holdings, LLC",1,,"Accent Energy Holdings, LLC",2014-12-11 17:53:52.595623-05,2014-12-23 12:51:29.551948-05,a6a49091-6cf8-4c60-a07c-934ca2740303,2
179,"Advantage Energy, Inc",1,,"Advantage Energy, Inc",2014-12-11 17:53:52.59863-05,2014-12-23 12:51:29.555853-05,a2d2497f-a918-4792-bc12-f63f13137f53,2
132,AECO,1,,AECO,2014-12-11 17:53:52.45324-05,2014-12-23 12:51:29.583285-05,b858ff52-6c6f-4306-ade4-3b7e7ea7aa24,1
105,AEP,1,,AEP,2014-12-11 17:53:52.361931-05,2014-12-23 12:51:29.587415-05,92d687e5-87ca-4208-9b51-8cd6022d7371,2
180,"Agway Energy Services, LLC",1,,"Agway Energy Services, LLC",2014-12-11 17:53:52.601534-05,2014-12-23 12:51:29.591414-05,a4d517b9-2dfb-4892-8bc1-391c460effee,2
181,Allegheny Energy Supply Co LLC,1,,Allegheny Energy Supply Co LLC,2014-12-11 17:53:52.604349-05,2014-12-23 12:51:29.59543-05,2240ad76-bc13-45b9-b27f-bf8b73c2f99c,2
182,"Alliance Power Company, LLC.",1,,"Alliance Power Company, LLC.",2014-12-11 17:53:52.60717-05,2014-12-23 12:51:29.599628-05,2cea9312-1a5b-4722-98eb-c47e437037c5,2
107,Ambit Energy,1,,Ambit Energy,2014-12-11 17:53:52.36756-05,2014-12-23 12:51:29.603583-05,40e8ed32-e7ef-40e6-b1b3-818c2c5cc477,2
118,Ameren,1,,Ameren,2014-12-11 17:53:52.414413-05,2014-12-23 12:51:29.607368-05,3e97a797-d11c-47ae-a8b4-ea299d431465,1
183,Ameren Energy Marketing,1,,Ameren Energy Marketing,2014-12-11 17:53:52.609983-05,2014-12-23 12:51:29.611224-05,c611f4cf-631a-42e7-91e6-18e555c40416,2
246,American Power & Gas of PA,1,,American Power & Gas of PA,2014-12-11 17:53:52.786863-05,2014-12-23 12:51:29.615054-05,95e2364a-749c-4548-89b5-cb06bcb88942,2
185,American PowerNet,1,,American PowerNet,2014-12-11 17:53:52.615582-05,2014-12-23 12:51:29.618989-05,456d7f7b-7c38-46db-ac2e-6d58d40ff959,2
184,American Power Partners LLC,1,,American Power Partners LLC,2014-12-11 17:53:52.612773-05,2014-12-23 12:51:29.62272-05,e5dc5af3-e1e3-4707-b118-72903e3ec35f,2
186,"Amerigreen Energy, LLC",1,,"Amerigreen Energy, LLC",2014-12-11 17:53:52.61839-05,2014-12-23 12:51:29.650264-05,da6916e5-7404-4b87-af4d-80600274476f,2
187,AmeriPower LLC,1,,AmeriPower LLC,2014-12-11 17:53:52.621228-05,2014-12-23 12:51:29.654018-05,1279a03c-0480-47bb-b97d-89a103989675,2
188,Amigo Energy,1,,Amigo Energy,2014-12-11 17:53:52.624056-05,2014-12-23 12:51:29.657753-05,f4761a11-abae-44ea-bc7f-390c6add9a5e,2
189,Andeler Power,1,,Andeler Power,2014-12-11 17:53:52.626886-05,2014-12-23 12:51:29.661516-05,8863e361-e642-4bdd-bf5e-dc1f6e6bd6a2,2
190,Anthracite Power & Light,1,,Anthracite Power & Light,2014-12-11 17:53:52.629643-05,2014-12-23 12:51:29.665388-05,27499e32-afbe-4adc-81c0-6140f8a8c9de,2
191,AP Holdings LLC,1,,AP Holdings LLC,2014-12-11 17:53:52.632429-05,2014-12-23 12:51:29.672908-05,f0a39173-4a30-4e99-a2ab-e0d7ac7ac9bb,2
192,"APN Starfirst, L.P.",1,,"APN Starfirst, L.P.",2014-12-11 17:53:52.635214-05,2014-12-23 12:51:29.680338-05,582c10bb-9e9b-4994-948c-b73f9af3fdcc,2
128,APS,1,,APS,2014-12-11 17:53:52.442251-05,2014-12-23 12:51:29.68405-05,bd43f95a-a4be-4bcb-9eac-1d7331b0ac6d,1
194,"Backyard Farms Energy, LLC",1,,"Backyard Farms Energy, LLC",2014-12-11 17:53:52.640766-05,2014-12-23 12:51:29.711637-05,24f80430-cab2-466e-ab62-466e34e4084c,2
122,BECO,1,,BECO,2014-12-11 17:53:52.425615-05,2014-12-23 12:51:29.71541-05,97d3e93a-9ed1-4d31-8219-c97b3c07ccd5,1
3,BGE,3,20,BGE,,2014-12-23 12:51:29.719108-05,d02549c1-b835-494f-8ecf-c137081ad0bd,1
