Administrative_Credit_Large_Commercial         | ACLC
Administrative_Credit                          | ADMIN_CREDIT
All_Applicable_Riders                          | ALL_APPLICABLE_RIDERS
APRP_Adjustment                                | APRP_ADJUSTMENT
APRP_Surcharge                                 | APRP_SURCHARGE
Balancing(_Service_Fee)?                       | BALANCING
Baseline_Gas_Commodity_Charge                  | BASELINE
Block_1                                        | BLOCK_ONE
Block_3                                        | BLOCK_THREE
Block_2                                        | BLOCK_TWO
Commodity(_Charge)?$                           | COMMODITY
^Gas_Commodity_Charge                          | COMMODITY
First_Gas_Commodity_Charge                     | COMMODITY_FIRST_RATE
Second_Gas_Commodity_Charge                    | COMMODITY_SECOND_RATE
Commodity_State_Tax                            | COMMODITY_STATE_TAX
Third_Gas_Commodity_Charge                     | COMMODITY_THIRD_RATE
Commodity_total                                | COMMODITY_TOTAL
COMM_LEAC                                      | COMM_LEAC
(Customer|Consumer)_Charge                     | CUSTOMER_CHARGE
Contract_Volume                                | CONTRACT_VOLUME
State_Sales_Tax_DC                             | DC_SALES_TAX_COMMODITY
Delivery_Service_Demand                        | DELIVERY_DEMAND
Delivery_State_Tax                             | DELIVERY_STATE_TAX
Delivery_+Tax                                  | DELIVERY_TAX
Demand(_Charges?)?$                            | DEMAND
^Distribution(_Charges?)?$                     | DISTRIBUTION
Distribution(_Charges?)?_+First_Block          | DISTRIBUTION_CHARGES_FIRST_BLOCK
Distribution(_Charges?)?_+Second_Block         | DISTRIBUTION_CHARGES_SECOND_BLOCK
Energy_Assistance_Trust_Fund                   | EATF
Energy_Cost_Adjustment                         | ECA
EmPower_MD_Charge_MDT                          | EMPOWER
Energy_Charge(.*)(First)?                      | ENERGY_CHARGE
Energy_Charge_Next                             | ENERGY_CHARGE_2
Efficiency                                     | ENERGY_EFFICIENCY_CHARGE
Excise_Tax                                     | EXCISE_TAX
Marginal_Fuel_Rate                             | FLAT_RATE
Franchise_Tax                                  | FRANCHISE_TAX
Fuel                                           | FUEL
Gas_PPP_Surcharge                              | GAS_PPP_1
Gas_Service_Over_Baseline                      | GAS_SERVICE_NON_BASELINE
Gas_Cost_Adjustment_Charges                    | GCA_CHARGE
^Generation(_Charges?)?$                       | GENERATION
Generation_Maximum_Demand                      | GENERATION_MAX_DEMAND
Generation_Minimum_Charge                      | GENERATION_MIN_CHARGE
Gross_Receipts_Tax                             | GROSS_RECEIPTS_TAX
GSA_Volume                                     | GSA_VOLUME
Generation_Int_Peak_Energy                     | INTERMEDIATE_PEAK_ENERGY
IRP_Cost_Recovery                              | IRP
Late_Payment(_Charge)?                         | LATE_PAYMENT
Los_Angeles_City_Users_Tax                     | LA_CITY_USERS
LN_Loss_Surcharge                              | LN_LOSS_SUR
Local_Tax                                      | LOCAL_TAX
LP_LEAC                                        | LP_LEAC
MD_Gross_Receipts_Surcharge                    | MD_GROSS_RECEIPTS_SURCHARGE
MD_GRT_Surcharge                               | MD_GRT_SURCHARGE
MD_Sales_Tax$                                  | MD_STATE_SALES_TAX
MD_Sales_Tax_Distribution                      | MD_STATE_SALES_TAX
MD_Distribution_Sales_Tax                      | MD_STATE_SALES_TAX
MD_Supply_Sales_Tax                            | MD_SUPPLY_SALES_TAX
Md_Universal_Service_Prog.                     | MD_UNIVERSAL
Montgomery_C(ou)?nty_Surcharge                 | MONT_COUNTY_SURCHARGE
Natural_Gas                                    | NG_SUPPLY
Generation_Off_Peak_Energy                     | OFF_PEAK_ENERGY
Generation_On_Peak_Energy                      | ON_PEAK_ENERGY
Over_Baseline                                  | OVER_BASELINE
PBF_Surcharge                                  | PBF
Procurement_cost_adjustment                    | PCA
Procurement_Cost_Adjustment_Small_Commercial   | PCASC
Peak_Usage_Charge                              | PEAK_USAGE
Penalty_Gas_Usage                              | PENALTY_GAS_USAGE
Rate_per_Therm                                 | PER_THERM_RATE
Peak_Gas_Charge                                | PGC
PGC                                            | PGC
Prince_George's_County_Energy_Tax              | PG_COUNTY_ENERGY_TAX
Pilot_Surcharge                                | PILOT_SUR
Power_Purchase_Adjustment                      | PPA
Public_Space_Occupancy_Surcharge               | PSOS
(CARE_)?Public_Purpose_Surcharge               | PUBLIC_PURPOSE_SURCHARGE
Estimated_Pepco_Avg_Charge                     | Pepco Electrical Estimate
Residential_Aid_Discount_Surcharge             | RADS
